opt_rank,opt_img,opt_name,opt_minNum,opt_maxNum,opt_age,opt_time,opt_genre,opt_tag1,opt_tag2,opt_tag3
50,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/01/30/3000153243/06f3f14a-1e32-46f8-8a1c-5e38bc568759.jpg,아이콤 New 도둑잡기,2,6,9,45,가족,주사위,부루마블,클래식
51,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/01/31/11/5/4c96b18e-e072-4cf2-ab18-dc77a72844c4.jpg,로스트 시티,2,2,8,30,가족,카드,사고력,점수내기
52,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/09/03/3000160032/beadeda3-3a79-43f6-8169-49852a0d1f9d.jpg,러시아워 딜럭스,1,1,8,20,퍼즐,완구,퍼즐,사고력
53,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/150343466373329-a73d10b1-42cc-40ce-933b-303859ed6704.jpg,인생게임 ,2,4,8,30,가족,파티,룰렛,부루마블
54,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/11/12/3809180589/3f74b2d6-91ee-4b71-b0b9-c8522d08dc13.jpg,매직비즈 대형 펭귄트랩 얼음깨기,2,4,8,20,가족,완구,조작,파티
55,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/11/14/3688206178/ff385d57-1c0a-43be-806e-38413ba5fb1b.jpg,해피플레이 입체 빙고,2,2,3,10,가족,조작,타일,클래식
56,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/10/24/15/8/1521e8fc-94f7-4c46-90f3-544efb397fb7.jpg,삼진 인생역전,2,4,7,30,가족,룰렛,부루마블,사고력
57,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2017/06/22/3007143220/dcea87b7-29c9-438e-bbe3-283d04f8dea3.jpg,붐 폭탄게임,2,5,6,20,가족,카드,숫자,사고력
58,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/08/04/19/3/2e5bd9e9-085a-41fe-8820-1718148fa2b7.jpg,흔한남매 학교탈출,2,4,7,30,가족,부루마블,우승제,조작
59,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/05/16/15/3/d3ba8578-8412-4a5c-9a63-56ec673866de.jpg,레지스탕스 아발론,5,10,14,30,전략,토큰,심리전,사고력
60,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/82be/9a765a85c03921c9c110e677b904ee9b2554eb3e2592669cd30e682810e1.jpg,사보타지,3,10,8,30,전략,심리전,카드,파티
61,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/05/22/15/8/c84a828a-3955-4e9f-b2eb-49a3993f5756.jpg,쿠키박스,2,4,6,15,퍼즐,순발력,토큰,기억력
62,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9408/575a4d0e17a75b87da3516459d332877af6a540289131cd0a4cda32a5a9c.jpg,딕싯,3,8,8,30,전략,심리전,그림,점수내기
63,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/10/17/14/3/286c7ba7-0818-418d-8283-d4effc6d4713.jpg,7원더스 대결,2,2,10,30,전략,카드,토큰,점수내기
64,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1f08/78d6ff968e1336885f0469b7028206909110e1eb9e57d22e3d066706c3f7.png,흔한남매 메모리 게임,2,4,5,15,카드,기억력,그림,어린이
65,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8323329019606-3771eb55-bbe2-4fdc-b80b-10bbea398d29.jpg,다이아몬드,2,3,4,20,전략,심리전,피스,사고력
66,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jqiobkng/7fb99674f66f475ba32ac9035272eb1f.jpg,술술카드,3,8,20,60,카드,카드,파티,심리전
67,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/03/05/3148459946/6ca68e76-92ba-404f-b2b3-7eb697f1fe23.jpg,도전 골든벨 OX퀴즈게임,1,5,8,30,가족,타이머,점수내기,순발력
68,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/68001530100458-5e119062-fa6a-45b1-bdf3-451b4dfabc85.jpg,코코너츠,2,4,6,20,가족,완구,조작,순발력
69,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/960a/eb7e57dc4feeacbd78bf50bf498fd5ac9a4c862f7fd0d1ccfb25dfa38193.jpg,미미월드 탈출 학교괴담,2,4,8,30,전략,방탈출,카드,토큰
70,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f3f6/46b5413b709ebecb75ff752d5c393ca27843434c78840b5933aa91a80b70.jpg,블리츠,3,6,10,20,카드,카드,순발력,파티
71,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/02/04/11/5/1228a40e-2f5d-41dc-940b-dc9e88401353.jpg,이스케이프 룸 미니,1,5,12,60,전략,방탈출,완구,사고력
72,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3719/46f4685736784a0b97f27d212cd8a8d1fc9325f933045e568117865e1b32.jpg,카탄,3,4,10,75,전략,토큰,카드,점수내기
73,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2015/12/05/3007143236/fcb029b0-f578-4de2-81c8-f656dd8a7ee0.jpg,에니그마,2,4,8,40,퍼즐,순발력,퍼즐,타일
74,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d01d/368a5127b2d010e5f310601c55c0760b2587a30189b3fa70b818fffa8cbd.jpg,카후나,2,2,10,30,전략,카드,토큰,사고력
75,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a83b/17d4a30bd9225d46edd4b309f3e808a9596b0f2a8f0ba7dc816213b918b7.jpg,셜록13,2,4,7,15,전략,심리전,역할극,카드
76,https://www.koreaboardgames.com/upload/uploaded/prd/922551600758639.jpg,이스케이프 룸 2,1,5,12,60,전략,방탈출,완구,사고력
77,https://www.koreaboardgames.com/upload/uploaded/prd/939691527588515.png,체크포인트 찰리,3,5,8,30,전략,카드,사고력,토큰
78,https://www.koreaboardgames.com/upload/uploaded/prd/831891482823433.png,타뷸라의 늑대,8,24,8,40,전략,파티,심리전,카드
79,https://thumbnail10.coupangcdn.com/thumbnails/remote/300x300ex/image/retail/images/2020/04/02/21/7/af9588b8-b0d2-4dfc-bcc3-f74c58261faa.jpg,팝콘에듀 오리지널 마피아,6,20,14,45,전략,심리전,파티,사고력
80,https://www.koreaboardgames.com/upload/uploaded/prd/429781533883979.jpg,도미니언,2,4,8,30,전략,카드,점수내기,사고력
81,https://www.koreaboardgames.com/upload/uploaded/prd/944801556254032.png,쥬만지,2,4,5,30,가족,카드,주사위,파티
82,https://www.koreaboardgames.com/upload/uploaded/prd/186511530770444.jpg,사건의 재구성,1,4,12,60,전략,사고력,카드,기억력
83,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2017/05/31/16/6/3de803e9-9a5a-4b81-b2cc-45f66f2cb59e.jpg,부자만들기,2,4,7,60,전략,점수내기,사고력,주사위
84,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/46b6/2c7d97dcd541ac105e063660c77a4046afdf84b386e20ea2583f2844a700.jpg,테트리스 듀얼,2,2,8,20,퍼즐,퍼즐,완구,사고력
